threshold,xgb,lgb,lr,ensemble
0.05,-2.5015531437187435,-2.497763847311551,-2.657372754497814,-2.627460703599491
0.1,-1.7795284431169462,-1.8900636227581438,-2.651730913180418,-2.1040138473099677
0.15,-1.2300711077852504,-1.4387069610795717,-2.577769461084319,-1.529397455091888
0.2,-0.8664764221549541,-1.101478293413503,-2.341382859286944,-1.1183570359285342
0.25,-0.6146332335321817,-0.8526197604782649,-1.977357784435096,-0.8198914670649776
0.3,-0.43782747005935324,-0.6568675149692473,-1.5661583083853825,-0.6031998502986512
0.35,-0.28970808383204494,-0.5079060628736277,-1.1766560628747864,-0.4421220059874912
0.4,-0.18226047904175194,-0.38127806886183013,-0.851272455089086,-0.3052114520955049
0.45,-0.10231100299394624,-0.25875748502967416,-0.5939651946101107,-0.18235404191599333
0.5,-0.023400074850303137,-0.16216317365253316,-0.3909150449097815,-0.08226047904185578
0.55,0.021191991017932354,-0.06141467065863986,-0.2601047904189568,-0.007410179640736203
0.6,0.05981474550895237,0.006886227544887132,-0.1629771706585784,0.05635291916163762
0.65,0.059459206586805265,0.036816991017931865,-0.09293600299397992,0.06960142215566521
0.7,0.05159992514968839,0.04805389221554488,-0.05780314371256281,0.05358345808381813
0.75,0.043459955089814595,0.047950973053879305,-0.028255988023958182,0.042505613772448665
0.8,0.017973428143710654,0.030931886227541477,-0.014324476047911778,0.022632859281435113
0.85,0.0034431137724543837,0.007017215568862659,-0.0012630988023998048,0.0047155688622748625
0.9,0.001375374251496904,-0.0005333083832336223,-0.008785553892217662,-0.00033682634730546583
